vowels,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz
Bellou_a_1,0.792455,965.355185,1566.595113,3081.040174,3536.460589,295.0424579
Bellou_a_2,0.896944,899.487838,1495.686633,2559.188944,3348.608822,224.6692088
Bellou_a_3,0.188878,978.654497,1669.36187,3239.718778,4173.536668,214.3783803
Bellou_a_4,0.254184,949.31731,1712.827614,2029.906806,3230.486712,313.4643443
Bellou_a_5,0.228061,966.61679,1598.766626,2945.418491,3379.549015,314.0249392
Bellou_a_6,0.753271,917.871439,1536.097997,3139.051411,3455.670282,260.4312235
Bellou_a_7,0.891332,995.500793,1420.445347,2855.829725,3512.680605,197.9631437
Bellou_a_8,0.397857,990.369851,1600.849512,3310.289025,3974.473724,398.0881429
Bellou_e_1,0.789649,889.171823,1004.980226,1764.583458,3120.120941,350.273478
Bellou_e_2,0.933322,837.259754,1661.280027,2225.289486,3461.562236,393.3138339
Bellou_e_3,0.878271,816.29366,1748.768811,3060.919531,4064.548011,196.9319108
Bellou_e_4,0.31949,838.346127,1421.880626,1985.177471,3120.789976,325.3804441
Bellou_e_5,0.228061,892.8913,2031.121679,3084.912744,4314.328315,284.8331642
Bellou_i_1,0.632914,530.294345,2230.446908,3201.99732,3842.137738,248.5654654
Bellou_i_2,0.332551,532.306623,2218.690386,3089.126623,4255.013325,439.4137457
Bellou_i_3,0.293367,455.770665,2441.231107,2586.822864,3148.608488,220.6051502
Bellou_i_4,0.332551,372.683214,2347.917478,3033.193169,3150.732945,346.1679169
Bellou_i_5,1.050873,525.95492,1699.16539,2380.432065,3138.427056,393.5593199
Bellou_i_6,0.293367,391.568393,2299.015871,2903.91025,3290.670217,319.7567179
Bellou_i_7,0.763526,566.799477,702.643574,2180.011328,3073.49452,442.2629106
Bellou_u_1,0.659036,615.069294,1071.632979,2373.008428,3790.413492,352.9417527
Bellou_u_2,0.188878,467.769058,993.619286,3241.590116,3284.457903,335.5662449
Bellou_u_3,0.410918,787.20128,1411.733291,3085.831487,3270.556948,243.5951951
Bellou_u_4,0.384796,849.358783,1743.801801,3630.91725,3765.184177,254.1524123
Bellou_u_5,0.306429,485.108223,1159.461561,2392.613036,3673.686784,300.7108371
Bellou_w_1,0.397857,801.663865,1287.437581,3144.176731,3933.834396,321.996964
Bellou_w_2,0.345612,685.481458,1296.316802,2728.055097,3129.592247,325.7939321
Bellou_w_3,0.254184,878.489344,1098.46491,2788.064096,3609.792917,266.7841409
Bellou_w_4,0.476225,793.809661,1208.434273,3226.156557,4264.797042,266.7215821
Bellou_w_5,0.31949,701.067631,1410.514546,3123.989067,3820.267975,345.8545685
Bellou_w_6,0.894138,607.606377,1280.280373,2995.508999,3722.182588,335.2144156
Bellou_w_7,1.050873,796.485573,1463.029729,3233.022752,4054.043052,381.6913847
Bellou_w_8,0.773781,713.422977,1120.364222,3330.835033,3453.076386,273.8107454
Bithikotsis_a_1,0.779393,858.978833,1544.32994,2698.531458,3560.440343,253.8347393
Bithikotsis_a_10,0.887659,910.714363,1486.494703,2599.15296,3758.07782,279.0659319
Bithikotsis_a_2,0.912812,795.94943,1528.694362,2701.828075,3736.581274,250.8945073
Bithikotsis_a_3,1.173169,799.098249,1563.374125,2715.300345,3664.581052,192.1630498
Bithikotsis_a_4,0.450102,880.174208,1494.150086,2751.167023,3850.486265,296.9141685
Bithikotsis_a_5,0.899751,850.745459,1443.225924,2810.598958,3615.490137,186.2859533
Bithikotsis_a_6,1.02572,899.491487,1480.621949,2748.555521,3866.33727,221.2046882
Bithikotsis_a_7,0.645975,822.242515,1508.339833,2564.857682,3731.222278,238.9569338
Bithikotsis_a_8,0.759853,611.777483,1520.402988,2542.710587,3618.998571,124.4532541
Bithikotsis_a_9,0.910006,743.667777,1463.05659,2792.732075,3834.181858,236.0786673
Bithikotsis_e_1,0.489286,640.845673,1861.365695,2627.490159,3594.277838,213.9520269
Bithikotsis_e_2,0.476225,504.999302,1815.916129,2527.462675,3682.679259,120.4789018
Bithikotsis_e_3,0.345612,532.315132,1922.654634,2721.348146,3791.57792,139.0639577
Bithikotsis_e_4,0.645975,555.780711,2046.312659,2562.327368,3726.023038,255.3381049
Bithikotsis_e_5,0.541485,567.348531,1725.29662,2548.001195,3577.229501,234.4434237
Bithikotsis_e_6,0.371735,623.412756,1884.396223,2596.049238,3623.318436,218.0437584
Bithikotsis_i_1,0.437041,462.276913,2269.237564,2699.840565,3902.525633,277.3421401
Bithikotsis_i_2,0.332551,623.791107,2322.979879,2944.060347,3758.999632,162.2207456
Bithikotsis_i_3,1.137659,409.461452,2117.287859,2651.085193,3916.494463,250.5632397
Bithikotsis_i_4,1.02572,485.094198,2109.962223,2642.53575,3852.66246,249.8141888
Bithikotsis_i_5,0.539649,375.557099,2242.452208,2612.078539,3610.14956,186.0369343
Bithikotsis_i_6,0.674904,408.727164,2252.08556,2691.617085,3932.990633,167.1062021
Bithikotsis_i_7,0.776587,372.960547,2271.561134,2549.239573,3759.677106,145.5278127
Bithikotsis_i_8,0.674904,463.772253,2157.211678,2583.811432,3697.487087,196.8413553
Bithikotsis_i_9,0.53123,458.947208,2243.091912,2672.867283,3982.445627,248.2792468
Bithikotsis_u_1,0.306429,557.366083,2084.085477,3182.5806,4016.538226,238.3746611
Bithikotsis_u_2,0.397857,662.234169,1349.522541,2983.679298,3813.997756,290.6991687
Bithikotsis_u_3,0.505108,585.102859,1069.984709,2714.587322,3599.633477,222.7306186
Bithikotsis_u_4,0.547098,543.743813,894.637673,2685.108583,3644.516555,184.0315466
Bithikotsis_w_1,0.397857,732.082437,3064.784452,3606.820426,4295.814652,189.674027
Bithikotsis_w_2,0.506077,736.959821,1137.512491,2767.322782,3592.019464,215.1988995
Bithikotsis_w_3,0.557353,558.833734,1017.222061,2713.706641,3809.19479,172.728335
