,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy,F1_Hz,F2_Hz,F3_HZ,F4_Hz,Rate,Depth,Regularity,x,y,z
Pitch,1.0,0.37131326577661783,0.1830748057569212,-0.1215290671759572,-0.08277190455893764,0.033046111295669464,0.17661983019793956,0.13009590111975852,0.052569745913523896,0.24576968324254903,0.2935860363248425,0.1159762865469187,0.3019349853479479,0.427344784687826,0.048469490195270394,-0.32360775763493754,0.21258833650302178,-0.39385987786099325,0.14959424489496592,0.22916377550102182,0.31328122015368143,0.012679341637385133,-0.3067100783984345,0.32321197614680575,0.04147822143487406,0.26393794549479305,0.2239498764687113,0.16383433778197748,-0.17436759509217384,0.069580731525318,0.6978810528525581,0.072365615422582,0.07760891295044182
SpectralCentroid,0.37131326577661783,1.0,0.8281892736327839,-0.7666945524449273,-0.617221130340358,0.12093095002437086,-0.5651850534905011,0.214579023726121,-0.44526306042780167,0.5660976488437945,0.4771621808868109,-0.3583891116565335,-0.2595286185811136,-0.0022725938009285087,-0.5018052826526928,0.5240225201367607,-0.0073086907642074764,0.1938470995737926,-0.3716919204977409,-0.2719553455422599,0.5227592274629199,-0.35658985309190233,-0.5279137864478788,0.3096617645688621,0.5437965514172938,0.21150591372646596,0.2325586715494049,0.01770118623047275,-0.029406745776293063,-0.015773829527377027,0.1447471613830921,-0.1962177656510131,0.3049942449614736
SpectralSpread,0.1830748057569212,0.8281892736327839,1.0,-0.6905803616835361,-0.659536793783919,0.09222811720186302,-0.4603863362256378,0.09253416133379058,-0.45271264280747353,0.5785315064807621,0.5351905889809109,-0.31076188333797944,-0.38214070300012565,0.06741313787621264,-0.43917374595052366,0.3961812109647387,-0.01610581737880727,0.14148628328522958,-0.3221898832416574,-0.301950094946936,0.32544998307713874,-0.24049875434478243,-0.344880563794076,0.08413183795748845,0.5798516142283576,0.23465181118590278,0.19337133056973546,-0.004609172904441567,-0.033772940385824894,0.04712111725257745,0.025845664480291065,-0.19910163871315442,0.2961697022999337
SpectralSkewness,-0.1215290671759572,-0.7666945524449273,-0.6905803616835361,1.0,0.9117035058838411,-0.13445747168718683,0.45650012597355344,-0.2605851827522999,0.36889669751674636,-0.39702032069809307,-0.40461624484705316,0.3233173429202243,0.23904981073798592,-0.11932252338419545,0.5416885512751511,-0.4455082111041084,-0.04656472293233779,-0.20445554611884584,0.31164488797412304,0.2789561105735461,-0.33643145040671263,0.2493848492186953,0.3427362261488079,0.023805199770890267,-0.6934931438655365,-0.026301984562338232,-0.049058362480934044,-0.008086719259011901,-0.02530021111477262,-0.032310543660085726,-0.07654475415364266,0.21381159687763232,-0.18277381808974844
SpectralKurtosis,-0.08277190455893764,-0.617221130340358,-0.659536793783919,0.9117035058838411,1.0,-0.09337131529038296,0.3697630366164564,-0.2355361340808201,0.3924104184185595,-0.3875796862907663,-0.39290056775643195,0.3027021785051698,0.21739410907382667,-0.03375066870070572,0.3704921407213094,-0.365655953378142,0.015705883338295413,-0.14829897207206838,0.25261094252282207,0.24290255895598645,-0.24199039969283978,0.18161028168428417,0.25313044060737316,-0.002695432222658615,-0.5970305052704771,-0.025757840113201654,-0.02391471059759173,-0.0036850444012558876,-0.03568628382005846,-0.041201445315072326,-0.04560737402456598,0.18221702834402387,-0.17878540745272206
SpectralFlatness,0.033046111295669464,0.12093095002437086,0.09222811720186302,-0.13445747168718683,-0.09337131529038296,1.0,-0.09385950320934974,-0.14237913239826605,0.10886137314011216,0.042946795540307836,0.11201705732335233,0.07778543702674608,-0.02922449046547367,0.06018316670800039,-0.04489198411128406,-0.0011729827648868428,-0.009068931458833992,0.041282340386816926,-0.0034071908143460013,0.02779345187977761,0.14661378096389588,-0.06798931861116313,-0.12573054669291997,-0.00415404163577565,0.07492005768653344,-0.015876715310807567,0.006336627680657248,0.14594307968992742,-0.042050193362964776,0.02734558977035118,0.028533850919628102,0.12627583234463977,-0.06720048410545429
SpectralCrest,0.17661983019793956,-0.5651850534905011,-0.4603863362256378,0.45650012597355344,0.3697630366164564,-0.09385950320934974,1.0,-0.14032955100340336,0.5856472866880886,-0.26444206285342614,-0.31993044101042123,0.5071182391961412,0.6628444511496718,0.31187427800330214,0.36483256839857475,-0.6074578571126279,0.27128905455534186,-0.5259447261493904,0.6794100470760902,0.5636557178561872,-0.45801484643180523,0.5224601815687758,0.4766676329239569,-0.30262922644291546,-0.1533930709967221,-0.06805857580388003,-0.05011266563708157,0.08211034158053802,-0.11418286644504587,0.09176717957118055,0.15536834962605847,0.2908733856124091,-0.30113733938843384
SpectralSlope,0.13009590111975852,0.214579023726121,0.09253416133379058,-0.2605851827522999,-0.2355361340808201,-0.14237913239826605,-0.14032955100340336,1.0,-0.686474844193369,0.21438012373683354,0.06684089165577965,-0.4764774006695647,0.09601751552876116,-0.1721770426125479,-0.048302877071774,0.22999588223962678,-0.04672186803633626,0.0013731305868395246,-0.15928842580673894,-0.14332393192885978,0.027810625991891626,-0.011733467136314544,-0.03416080185144776,0.1511679266549154,0.06812398326455753,0.11197367666324572,0.01489950904316178,-0.11742470508334558,0.06289967474788825,-0.21302896442539482,-0.03252157342260828,-0.3498464737762512,0.15211015004138728
SpectralDecrease,0.052569745913523896,-0.44526306042780167,-0.45271264280747353,0.36889669751674636,0.3924104184185595,0.10886137314011216,0.5856472866880886,-0.686474844193369,1.0,-0.37200072445845206,-0.3886313775000416,0.6676474584446614,0.45802559129938464,0.3000142051073452,0.1950056087700969,-0.4342810012359659,0.23599706175876,-0.3278072148359859,0.5379139812756923,0.4334697503112792,-0.28045736219164147,0.3377245677219582,0.30688394493202137,-0.2133750157393796,-0.21664298521782593,-0.07180562370607102,-0.029552950053999927,0.15469257039754664,-0.14290867846999017,0.16354349459031162,0.17764554542889333,0.4106922544387248,-0.3562683664144864
SpectralRollOff,0.24576968324254903,0.5660976488437945,0.5785315064807621,-0.39702032069809307,-0.3875796862907663,0.042946795540307836,-0.26444206285342614,0.21438012373683354,-0.37200072445845206,1.0,0.3383790547539924,-0.24404742516158193,-0.14252457474585706,-0.036868815561892726,-0.2593431799522573,0.318132649541716,-0.06382051094834633,-0.010666084639595175,-0.16328300536467003,-0.16361355416596007,0.1761527113714899,-0.0773068940915481,-0.17558705574323138,0.22037035915101855,0.30562053596730576,0.21699437661733673,0.19317102357817809,0.05728436142091186,-0.0969411384754648,0.024653470923392578,0.1396621226738784,-0.14708955631789344,0.22985683960498873
SpectralVariation,0.2935860363248425,0.4771621808868109,0.5351905889809109,-0.40461624484705316,-0.39290056775643195,0.11201705732335233,-0.31993044101042123,0.06684089165577965,-0.3886313775000416,0.3383790547539924,1.0,0.06900437872076082,-0.3852028493370986,0.23232366069533827,-0.2466776634837662,0.04424590494332845,-0.06644106050484162,0.05992912700604856,-0.37202668528618965,-0.20053617719370867,0.41083261083398576,-0.31886740038994044,-0.45081117750061717,0.10304809915453406,0.31575329268165764,0.20135082338710705,0.10781832427190398,0.1321478887163651,-0.11462749224264462,0.17398463875544284,0.2117718103155297,-0.1668528009716128,0.24634333314975532
