names,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz,x,y
Kazantzidis_a_1,210.506931576767,1430.60116610084,983.213911197591,1.78237093279506,6.15669533232817,5.25705086971682e-06,0.270721006804834,-2.02685840581326e-07,0.0312831318463826,3724.21486750483,0.699523713649965,0.0025633147712197,0.0052059588147411,0.0461630656570762,0.468092502261767,0.445845826994729,0.261629853393832,0.167648345442299,0.0120453116838241,0.0203937451993324,0.52152375918899,0.666882543166009,0.917482777263637,0.682353,882.795696,1344.026016,2878.309167,3700.916993,210.278081138794,59.903027,-11.7190695
Kazantzidis_a_10,166.501439065731,998.955805339201,622.840529489372,2.20939829809367,8.54140568119109,4.2330409292695e-05,0.235926783621152,-1.21729222999822e-06,0.0347163716112428,1892.36299292075,0.740312405682471,0.0030343994415124,0.0033070818508529,0.0621239350452188,0.387779112099459,0.519430966975741,1.7484998233906,0.310498293380315,0.0022798481089704,0.0319739094846306,0.513231981361914,0.131562883024528,0.948475993509674,0.672098,801.756463,1315.83541,2845.573658,3588.818233,167.262051725003,40.370285,-18.77306
Kazantzidis_a_11,248.033399975802,1254.45673378427,655.012561036638,1.7190415239988,6.73220079208193,6.344593365500461e-09,0.190429064130086,1.70942220658807e-06,0.0109375131960138,2250.7413419858,0.666717742082073,0.0014222054442445,0.0032971393193126,0.0958837332511256,0.438274982302461,0.439052008562786,0.712782690787594,0.341501217796949,0.0021901991421296,0.0354666023790035,0.581317103147666,0.086115630992224,0.720231513205589,0.437041,919.641941,1418.194088,2871.019368,3612.518658,218.888854193932,42.868877,-31.412771
Kazantzidis_a_12,189.172328635017,1499.70849496138,1058.93932731775,1.51311065988701,4.91002271460913,3.10186240482581e-07,0.181834154941805,3.22419716395148e-07,0.0162537060674735,5628.38308503879,0.577700299624248,0.001149762968897,0.0033859594792014,0.0146105388682379,0.372045761043093,0.557982312909226,0.619013531478434,0.14795834630984,0.0105242149009819,0.011884987034487,0.453448991092474,0.881938626695261,1.20531971543424,1.128373,820.03841,1518.637611,2850.717046,3669.329568,189.841717101038,45.87107,1.7055901
Kazantzidis_a_13,192.145750822955,1446.02949116626,941.445970863646,1.17128614814749,3.6768647586281,5.462428223441481e-09,0.231586483310596,6.07376233985232e-07,0.0145827777710873,4932.89844033386,0.491976802549893,0.0009104420387845,0.0044977887570176,0.0119265091859662,0.434788652197959,0.484603453016495,0.341042651648148,0.154926704622888,0.0085277508432057,0.0159312323715971,0.453969871726003,0.844440383245024,1.20279675227253,0.902557,796.131729,1553.680483,2644.956407,3456.971353,191.739340514868,46.625973,1.6190444
Kazantzidis_a_14,192.868599512858,1344.97481164987,900.528564936884,1.46397518925526,4.96028623974786,2.12260081066381e-05,0.160343934963705,-6.30033109067256e-08,0.0178090002690348,2908.3190031738,0.639236254422126,0.0011541673126771,0.0019416119346165,0.115002353032961,0.330771543608854,0.491706368104922,1.41848150332384,0.365638568504028,0.0012106781951816,0.0189392621399123,0.571364220237148,0.0625720445490822,0.750210322738525,0.805516,803.985938,1391.215652,2554.877534,3509.553568,193.871038171798,61.108654,-10.158668
Kazantzidis_a_15,290.398581412631,1270.58471261232,876.049514240153,3.16155090176927,14.5498842256638,8.360413560680201e-10,0.356908721075937,6.55080923243088e-07,0.0157044058520614,2855.63215024458,0.544592107772156,0.0009624807367224,0.0056398265352175,0.0359589002620869,0.60891753104523,0.314396772719582,11.9018037368864,0.12476537674291,0.0152105815365401,0.0158169318112614,0.45264202781749,1.0911510136043,1.20925132564846,0.895108,883.826488,1458.763292,2842.992638,3703.002947,287.410779044343,38.269176,19.810698
Kazantzidis_a_16,285.739616350275,1328.50182519659,884.48199297019,2.67112677487524,11.958196101843,6.74646117179775e-10,0.299092353336803,1.06655304589511e-06,0.0114499270861115,5240.31833187979,0.730835774450958,0.0013538481371594,0.0070607119554386,0.0472313406982566,0.615703546259766,0.337257091753449,7.30212878425564,0.133619367130799,0.0123180476662357,0.0267473340869707,0.471185893849174,0.918713828924242,1.12230718542394,0.896944,881.404346,1429.339645,2758.152317,3547.321514,281.848874881193,40.443356,-30.446278
Kazantzidis_a_17,147.311263022329,949.097058759155,697.933744164514,1.62522131747099,5.42329786329838,1.53465052048426e-06,0.250008765558222,1.91231666004574e-08,0.0325253592775557,2687.66112663982,0.581945428873558,0.0013118889266326,0.0038219195221585,0.0916585541614521,0.345431420703837,0.500683238353575,2.31574965665732,0.172952365269854,0.0019852372880614,0.010700026760542,0.460223608387161,0.850515046598388,1.17285680650862,0.780363,679.747589,1357.681146,2482.175305,3465.887866,147.675926990233,47.83542,3.2224648
Kazantzidis_a_18,226.922721646777,1382.51401710968,793.162215399418,1.196473036985,4.24235094296733,1.33597867179348e-08,0.184071053195384,1.47503768288737e-06,0.0154276817981034,3276.31593600275,0.611407598469877,0.0012594796708441,0.0074751819435576,0.0475582115177046,0.360092999971952,0.58250134969369,1.68018213846215,0.152488831719527,0.0207749839389716,0.0172506680564219,0.448125339175335,1.16123239413613,1.23152188622293,1.052812,870.984607,1549.486829,2685.076668,3645.467436,226.876687390358,47.83389,0.7811241
Kazantzidis_a_19,150.232929624619,1453.09807315409,975.289352189774,0.874004570429581,2.92913433419484,9.99448620215016e-06,0.127401363066783,2.83840445101958e-07,0.0177013757867024,3560.92753595006,0.596917842266998,0.0011566553139695,0.0029401231362419,0.066778035597308,0.27833788141949,0.591734626517491,1.13867596288166,0.240427362066461,0.0036221207416114,0.013938311511303,0.509068024516577,0.340234116449274,0.964452297403742,0.53123,738.119328,1484.431112,2557.006051,3529.542624,150.666151374304,32.289948,-27.165474
Kazantzidis_a_2,128.167848965742,1331.42115823743,1030.10853310053,1.3606756358882,3.79189700204983,6.45392407604533e-05,0.206520503558921,-6.77015094749035e-07,0.0292171431060737,3440.16620452521,0.660151339303708,0.002026658400564,0.0035660057392732,0.0525831656352299,0.226326326515773,0.68315068518337,0.204256275731,0.24646963163506,0.0031995118494763,0.0191635820655469,0.496475963498561,0.255522620295281,1.01419620187292,0.672098,762.607662,1301.319692,2666.683648,3647.263794,127.763817821429,37.840485,27.988111
Kazantzidis_a_20,215.30289810476,1149.56348030219,634.719874388846,1.82869803130151,6.76559513944665,2.0436592321641403e-09,0.297660752862048,2.06102683321519e-06,0.0146106977879321,1973.35702906226,0.659907457480789,0.0019836671617301,0.0029865601653491,0.0803821987838598,0.455856191763309,0.331696938364335,0.475792070170993,0.317046637068615,0.0006940531916272,0.0304330269677654,0.537165565317532,0.137022136308046,0.861623425933633,0.625465,880.650173,1362.622274,2762.693188,3519.781799,212.55287051331,42.43304,-29.904842
Kazantzidis_a_21,174.174618803944,1296.5086413233,760.713676751451,1.35424793626647,4.27340066447241,0.0001692994685983,0.161125116403309,-6.58320488228475e-07,0.0295464479412453,2545.60346135904,0.606964928731981,0.0018117708250025,0.0034641854225411,0.0945793680354748,0.291122243143907,0.548388538774919,1.25304883405662,0.260679805611576,0.0038714649570903,0.0194565383381776,0.543935918934791,0.245783873547754,0.838451856531806,0.505108,834.95147,1331.545051,2615.279275,3325.672719,173.670438633864,42.510834,-27.888329
Kazantzidis_a_22,147.908323151262,1240.67873868332,873.745702539029,1.45129552153766,4.40202820598392,8.93006723052739e-06,0.159602952391199,-2.35367720144996e-07,0.0196658676203752,3489.47918957919,0.646369888003201,0.0012883465554587,0.0011195115916551,0.0,0.0141430525082251,0.79414421076507,1.376255354661,0.38934088387849,0.0003175549178773,0.0192666006532797,0.551420030741022,0.0315983210489382,0.813515927517047,0.397857,719.324906,1341.527246,2624.319509,3615.478263,148.988658729789,37.943882,28.49547
Kazantzidis_a_3,219.69992935109,1360.49097968859,748.029763906487,1.85977972966042,6.29536835153544,7.75149020038482e-06,0.255631351813409,-5.41389708862978e-08,0.0369740172878961,3505.70633045239,0.684479671209298,0.0034551904790559,0.0071473868075163,0.0532067884208354,0.367278200158452,0.429685946407709,0.349683974715883,0.218581995874802,0.0090650791080205,0.0296907049211008,0.541007034771646,0.371102180401595,0.848404800174346,0.518169,934.415534,1360.618269,2800.691773,3722.491424,220.2464226893,47.478653,31.29789
Kazantzidis_a_4,198.348076357011,1283.1945741279,752.995976837634,1.66408621640703,5.87164216761826,1.30621910698074e-08,0.20471743044016,2.12972477811518e-06,0.015712187991596,3280.51055117651,0.676399718505702,0.0018433979817804,0.0054093790364343,0.0365090633295676,0.356189443486985,0.566455319251387,0.795735049420397,0.141837716155734,0.0183666809093089,0.0191384277486375,0.460806092427535,0.938981938510308,1.17011019696372,0.789649,875.795229,1442.245433,2534.731501,3478.237854,204.731564683143,44.847363,20.277893
Kazantzidis_a_5,197.20567550059,1170.4106124106,663.763996552433,1.62879823716176,6.15037534192025,1.40230739058642e-09,0.270110928560624,2.1513083130095e-06,0.0130285751538053,1903.98084578731,0.576191076044231,0.0013913097528281,0.0060107560267105,0.0550980201785726,0.490689363152877,0.358212000530024,0.360607514411525,0.225066141291642,0.0023367580231153,0.0150433449597451,0.491168452952896,0.340998808911422,1.03602508753324,0.628271,789.436372,1439.816437,2440.292228,3610.099368,197.078449141161,44.338078,20.254787
Kazantzidis_a_6,233.437187378949,1627.27254687652,1083.84764278961,1.26856284121938,3.96058047001722,7.82261464412065e-07,0.213821291080341,4.48630272344622e-07,0.0195821279351612,3216.33541122974,0.719343267308742,0.0022836317559055,0.008340337856253,0.0562704164205367,0.519691553913857,0.407226651780051,0.328703958993866,0.119945120845759,0.0237177841661543,0.0305985591811567,0.495260821239706,0.882185000148578,1.01915529701818,0.463163,921.0036,1447.808648,2663.543299,3610.333138,233.400164141298,60.42931,-11.103181
Kazantzidis_a_7,229.559436664101,1404.02495356577,886.830236586965,1.59736310597576,5.0035137346561,8.651873635403611e-09,0.171747924243476,1.06536654987515e-06,0.0086159629367004,2858.22129828345,0.616821137168859,0.0008073762354556,0.0034263718481664,0.0558889851424967,0.471397253325481,0.452753754307007,0.511004428179558,0.287482828070228,0.0029426034163331,0.0198098855550667,0.53247463561681,0.218239855826542,0.878034703351441,0.63572,851.127175,1368.874596,2712.238412,3567.801255,227.423773476239,48.414936,-1.1271107
Kazantzidis_a_8,192.70149164721,1237.01192176408,846.452907451845,1.29322534583645,3.94230021497689,8.37214210805273e-10,0.187316518817663,1.06505219571467e-06,0.0058733610685861,3041.93044592161,0.685724074958562,0.0006805313855069,0.0023946812000632,0.0677996482529091,0.482286821994127,0.382082822259135,0.925251606013484,0.285191340832338,0.0016213935969685,0.0157248731799122,0.511593035573162,0.173038836695571,0.954678681033359,0.910006,686.962646,1393.348371,2548.822415,3449.805334,189.012027268559,42.68709,-28.625618
Kazantzidis_a_9,278.086634270947,1649.96643426468,1170.18411897579,1.32156711102535,4.19266785607171,5.99826109266934e-06,0.174393583450244,4.09736381639668e-08,0.0171375939510793,3604.91483926782,0.757593575629314,0.0019039019267336,0.0040498588923194,0.174593568379192,0.437280717950746,0.309161948013148,4.79696900992698,0.238662723886345,0.0091004574793772,0.037216021433458,0.563965323494985,0.278228368723392,0.773158664796687,0.505108,893.440904,1472.111582,2727.731858,3781.492949,278.63611963773,52.496025,34.072056
Kazantzidis_e_1,217.993474181366,1418.05610531588,1157.97741185602,1.26703687171069,4.84608160889056,2.86049311949099e-07,0.23311354529777,3.14533021973326e-07,0.0131387841432942,2347.28128430976,0.756275530374687,0.000682830675816,0.0020249031201646,0.127798374035577,0.505311623728351,0.302517776009822,0.28357524591329,0.193599136803397,0.0028516701853052,0.0061740828576863,0.495372302615421,0.762668611218819,1.01868374484963,1.375567,609.526403,1855.968647,2332.745518,3481.328638,214.209269196966,62.55154,-6.3097205
Kazantzidis_e_10,189.938768639725,1557.03340497881,1088.73579122932,0.73645260198877,2.97166438997425,3.05568607048648e-08,0.170121989747087,9.596893544859e-07,0.0126442195048035,3531.55918180161,0.626857625787274,0.0012633420585389,0.0053561526075845,0.0766305746876156,0.460100083678506,0.461993501124858,1.25969497205281,0.164054561087172,0.0180418151583442,0.0167682137434843,0.453644437191457,0.943564121078296,1.20436958555266,1.022914,541.466292,1790.104418,2379.04561,3446.3273,189.00635648786,61.082386,-4.8813043
Kazantzidis_e_11,196.126497941141,1491.33200121079,1098.99947980791,0.650665843462842,2.61188929818949,2.15019612703571e-07,0.19328849470734,6.20898207943283e-07,0.0214988053922174,3606.50006417393,0.612490684217957,0.0012354241354614,0.003274589505127,0.120106128349422,0.400555299602817,0.452457792435143,0.572651378944233,0.133316801365255,0.0088620962862549,0.0075430941147985,0.441925749675247,1.12818061043941,1.26282399452565,1.169393,563.805869,1870.741719,3117.793344,3356.040519,185.719587313963,52.420006,21.485157
Kazantzidis_e_2,231.423345180468,1706.9948683064,1332.31704994492,1.13245072809964,4.47113742920755,1.74801318789641e-07,0.240354916886465,3.24229300045122e-07,0.0131423945223061,5673.23525784048,0.781667499449716,0.001205449793598,0.0025362663424451,0.123139504436718,0.495997284172851,0.337250555035087,0.21075620560181,0.191767044373248,0.0075384351358929,0.016951728029512,0.507837674256847,0.685464782616171,0.969133151579129,0.625465,538.636594,1875.407301,2546.723691,3471.401712,231.062920280126,53.611397,14.887709
Kazantzidis_e_3,253.098871083843,1520.7391500838,1250.80513504698,1.70093576817368,6.82968676311457,4.5065834086917606e-09,0.326462120275778,6.3701141407107e-07,0.0147477463663169,3261.66015058409,0.785048136853011,0.0018870270112231,0.0073633509037913,0.104602987670407,0.461815914781879,0.325817073843909,0.254423054457587,0.112992803353109,0.0206601527299559,0.0197102120881716,0.450988244568937,1.11087569731253,1.21735269609038,0.753271,540.714654,1807.601004,2498.050975,3445.508859,252.5913513028,62.147644,-5.7256417
